Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Footer_TestSuite,Chrome 78.0.3904.70,,,2019-10-31 15:16:54,2019-10-31 15:21:57,5m - 3.351s,INCOMPLETE
,,,,,,,
Test Cases/Footer/EOL_Global_Footer_TC011,Chrome 78.0.3904.70,"""Verify the E! News Logo is actionable and reloads the Front Door while 
maintaining edition integrity""",,2019-10-31 15:16:54,2019-10-31 15:17:50,55.876s,FAILED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:16:55,2019-10-31 15:16:59,3.449s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:16:59,2019-10-31 15:16:59,0.261s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:16:59,2019-10-31 15:17:14,15.105s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Entertainment/Page_Entertainment/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:17:14,2019-10-31 15:17:15,0.667s,PASSED
"click(findTestObject(""Object Repository/Footer_OR/Page_Entertainment/Page_Entertainment/div_Work  Money7 Yoga""))",Chrome 78.0.3904.70,,,2019-10-31 15:17:15,2019-10-31 15:17:47,31.771s,FAILED
"click(findTestObject(""Object Repository/Footer_OR/Page_Entertainment/Page_Entertainment/a_Promoted Links_footer__enews-logo footer__enews-logo--us""))",Chrome 78.0.3904.70,,,2019-10-31 15:17:47,2019-10-31 15:17:48,1.204s,PASSED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:17:48,2019-10-31 15:17:48,0.334s,PASSED
,,,,,,,
Test Cases/Footer/EOL_Global_Footer_TC012,Chrome 78.0.3904.70,Footer Functionality. Verifying all links navigate to a new page in footer.,,2019-10-31 15:17:50,2019-10-31 15:21:57,4m - 6.874s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:17:51,2019-10-31 15:17:52,1.827s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:17:52,2019-10-31 15:17:53,0.239s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:17:53,2019-10-31 15:18:06,13.648s,PASSED
"click(findTestObject(""Object Repository/FooterObjects/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:06,2019-10-31 15:18:07,0.549s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_About Us""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:07,2019-10-31 15:18:08,1.445s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_About Us""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:08,2019-10-31 15:18:09,1.092s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:18:09,2019-10-31 15:18:14,5.032s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_FAQ""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:14,2019-10-31 15:18:20,5.304s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_FAQ""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:20,2019-10-31 15:18:25,5.310s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_Careers""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:25,2019-10-31 15:18:31,5.451s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_Careers""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:31,2019-10-31 15:18:36,5.592s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_Contact Us""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:36,2019-10-31 15:18:42,5.412s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_Contact Us""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:42,2019-10-31 15:18:47,5.702s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_Site Map""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:47,2019-10-31 15:18:53,5.397s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_Site Map""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:53,2019-10-31 15:18:58,5.164s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_Apps""))",Chrome 78.0.3904.70,,,2019-10-31 15:18:58,2019-10-31 15:19:03,5.453s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_Apps""))",Chrome 78.0.3904.70,,,2019-10-31 15:19:03,2019-10-31 15:19:08,5.102s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_Cookie Settings""))",Chrome 78.0.3904.70,,,2019-10-31 15:19:08,2019-10-31 15:19:14,5.573s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_Cookie Settings""))",Chrome 78.0.3904.70,,,2019-10-31 15:19:14,2019-10-31 15:19:19,5.149s,PASSED
"rightClick(findTestObject(""Object Repository/FooterObjects/a_Show Schedule""))",Chrome 78.0.3904.70,,,2019-10-31 15:19:19,2019-10-31 15:19:25,5.551s,PASSED
"click(findTestObject(""Footer_OR/Footer/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_Show Schedule""))",Chrome 78.0.3904.70,,,2019-10-31 15:19:25,2019-10-31 15:19:30,5.053s,PASSED
