Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Entertainmen/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:11:40,2019-10-31 15:11:41,0.624s,PASSED
"click(findTestObject(""Page_Entertainmen/a_LATEST NEWS_nav__logo-link""))",Chrome 78.0.3904.70,,,2019-10-31 15:11:41,2019-10-31 15:11:42,0.995s,FAILED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:11:42,2019-10-31 15:11:42,0.332s,PASSED
,,,,,,,
Test Cases/Global Header/EOL_Global_Header_TC006,Chrome 78.0.3904.70,Click and verify latest news menu and the navigated page,,2019-10-31 15:11:44,2019-10-31 15:12:05,21.391s,FAILED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:11:44,2019-10-31 15:11:47,2.036s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:11:47,2019-10-31 15:11:47,0.255s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:11:47,2019-10-31 15:11:59,12.714s,PASSED
"click(findTestObject(""Object Repository/GlobalHeader_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_LATEST NEWS""))",Chrome 78.0.3904.70,,,2019-10-31 15:11:59,2019-10-31 15:12:00,0.828s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/GlobalHeader_OR/Page_A Full List of Top Stories News  E News/h1_Top Stories""), 2)",Chrome 78.0.3904.70,,,2019-10-31 15:12:00,2019-10-31 15:12:03,2.644s,FAILED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:12:03,2019-10-31 15:12:03,0.440s,PASSED
,,,,,,,
Test Cases/Global Header/EOL_Global_Header_TC007,Chrome 78.0.3904.70,Click and verify latest news menu and the navigated page,,2019-10-31 15:12:05,2019-10-31 15:12:25,19.944s,FAILED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:12:06,2019-10-31 15:12:08,1.845s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:12:08,2019-10-31 15:12:21,13.017s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:12:21,2019-10-31 15:12:21,0.512s,PASSED
"click(findTestObject(""Page_Entertainmen/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:12:21,2019-10-31 15:12:22,0.485s,PASSED
"click(findTestObject(""Object Repository/GlobalHeader_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_WATCH FULL EPISODES""))",Chrome 78.0.3904.70,,,2019-10-31 15:12:22,2019-10-31 15:12:22,0.479s,PASSED
"verifyElementPresent(findTestObject(""Page_E - NBCcom/div_NBCcom""), 0)",Chrome 78.0.3904.70,,,2019-10-31 15:12:22,2019-10-31 15:12:23,0.645s,FAILED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:12:23,2019-10-31 15:12:23,0.459s,PASSED
,,,,,,,
Test Cases/Global Header/EOL_Global_Header_TC003,Chrome 78.0.3904.70,"""Verify EOL International Editions drop-down menu at the top right of the Header 
(Should display the country code of the contentEdition the user is viewing)""",,2019-10-31 15:12:26,2019-10-31 15:12:48,22.586s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:12:26,2019-10-31 15:12:29,3.318s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:12:29,2019-10-31 15:12:29,0.382s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:12:29,2019-10-31 15:12:45,15.986s,PASSED
"verifyElementPresent(findTestObject(""Page_Entertainmen/a_us""), 0)",Chrome 78.0.3904.70,,,2019-10-31 15:12:45,2019-10-31 15:12:46,0.306s,PASSED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:12:46,2019-10-31 15:12:46,0.321s,PASSED
